date,Afghanistan,Bangladesh,Bhutan,India,Pakistan,Maldives,Nepal,Sri Lanka
01-22-20,0,0,0,0,0,0,0,0
01-23-20,0,0,0,0,0,0,0,0
01-24-20,0,0,0,0,0,0,0,0
01-25-20,0,0,0,0,0,0,0,0
01-26-20,0,0,0,0,0,0,1,0
01-27-20,0,0,0,0,0,0,0,1
01-28-20,0,0,0,0,0,0,0,0
01-29-20,0,0,0,0,0,0,0,0
01-30-20,0,0,0,1,0,0,0,0
01-31-20,0,0,0,0,0,0,0,0
02-01-20,0,0,0,0,0,0,0,0
02-02-20,0,0,0,1,0,0,0,0
02-03-20,0,0,0,1,0,0,0,0
02-04-20,0,0,0,0,0,0,0,0
02-05-20,0,0,0,0,0,0,0,0
02-06-20,0,0,0,0,0,0,0,0
02-07-20,0,0,0,0,0,0,0,0
02-08-20,0,0,0,0,0,0,0,0
02-09-20,0,0,0,0,0,0,0,0
02-10-20,0,0,0,0,0,0,0,0
02-11-20,0,0,0,0,0,0,0,0
02-12-20,0,0,0,0,0,0,0,0
02-13-20,0,0,0,0,0,0,0,0
02-14-20,0,0,0,0,0,0,0,0
02-15-20,0,0,0,0,0,0,0,0
02-16-20,0,0,0,0,0,0,0,0
02-17-20,0,0,0,0,0,0,0,0
02-18-20,0,0,0,0,0,0,0,0
02-19-20,0,0,0,0,0,0,0,0
02-20-20,0,0,0,0,0,0,0,0
02-21-20,0,0,0,0,0,0,0,0
02-22-20,0,0,0,0,0,0,0,0
02-23-20,0,0,0,0,0,0,0,0
02-24-20,1,0,0,0,0,0,0,0
02-25-20,0,0,0,0,2,0,0,0
02-26-20,0,0,0,0,0,0,0,0
02-27-20,0,0,0,0,0,0,0,0
02-28-20,0,0,0,0,2,0,0,0
02-29-20,0,0,0,0,0,0,0,0
03-01-20,0,0,0,0,0,0,0,0
03-02-20,0,0,0,2,1,0,0,0
03-03-20,0,0,0,0,0,0,0,0
03-04-20,0,0,0,23,0,0,0,0
03-05-20,0,0,0,2,1,0,0,0
03-06-20,0,0,1,1,0,0,0,0
03-07-20,0,0,0,3,0,0,0,0
03-08-20,3,3,1,5,0,4,0,0
03-09-20,0,0,0,4,10,0,0,0
03-10-20,1,0,0,13,3,2,0,0
03-11-20,2,0,0,6,1,2,0,1
03-12-20,0,0,0,11,8,0,0,0
03-13-20,0,0,0,9,3,1,0,4
03-14-20,4,0,0,20,22,1,0,4
03-15-20,5,2,0,11,83,3,0,8
03-16-20,5,3,0,6,100,0,0,10
03-17-20,1,2,0,23,63,0,0,16
03-18-20,0,4,0,14,155,0,0,7
03-19-20,0,3,0,38,47,0,0,9
03-20-20,2,3,1,50,229,0,0,13
03-21-20,0,5,0,86,46,0,0,4
03-22-20,16,2,0,66,99,0,0,5
03-23-20,0,6,0,103,97,0,1,15
03-24-20,34,6,0,37,91,0,0,5
03-25-20,10,0,0,121,138,0,1,0
03-26-20,10,5,0,70,172,0,0,4
03-27-20,16,4,1,160,122,3,1,0
03-28-20,0,0,0,100,102,0,1,7
03-29-20,10,0,1,37,120,1,0,4
03-30-20,50,1,0,227,221,0,0,5
03-31-20,4,2,0,146,180,1,0,21
04-01-20,63,3,0,601,303,1,0,3
04-02-20,36,2,1,545,265,0,1,5
04-03-20,8,5,0,24,132,0,0,8
04-04-20,18,9,0,515,339,0,3,7
04-05-20,50,18,0,506,609,0,0,10
04-06-20,18,35,0,1190,269,0,0,2
04-07-20,56,41,0,533,228,0,0,7
04-08-20,21,54,0,605,226,0,0,4
04-09-20,40,112,0,809,206,0,0,1
04-10-20,37,94,0,873,316,0,0,0
04-11-20,34,58,0,848,219,0,0,8
04-12-20,52,139,0,759,266,1,3,12
04-13-20,58,182,0,1248,341,0,2,7
04-14-20,49,209,0,1034,546,0,2,16
04-15-20,70,219,0,835,536,2,0,5
04-16-20,56,341,0,1108,106,3,0,0
04-17-20,66,266,0,922,613,3,14,6
04-18-20,27,306,0,1370,710,7,1,10
